installment,purpose,application_type,int_rate,last_pymnt_amnt,loan_amnt,revol_bal,delinq_2yrs,inq_last_6mths,mort_acc,grade,open_acc,revol_util,total_acc,fico_range_low,fico_range_high,addr_state,emp_length,home_ownership,verification_status,annual_inc,loan_status
314.48,credit_card,Individual,8.24,314.48,10000.0,8914.0,0.0,0.0,1.0,B,11.0,26.7,25.0,705.0,709.0,LA,10+ years,MORTGAGE,Not Verified,30000.0,Current
936.86,debt_consolidation,Individual,20.49,27454.58,35000.0,33377.0,0.0,1.0,4.0,E,18.0,70.0,36.0,715.0,719.0,UT,< 1 year,MORTGAGE,Source Verified,147500.0,Fully Paid
1096.62,debt_consolidation,Individual,7.99,1096.62,35000.0,23468.0,0.0,1.0,2.0,A,14.0,21.5,23.0,750.0,754.0,PA,1 year,RENT,Verified,166500.0,Current
202.14,debt_consolidation,Individual,12.99,202.14,6000.0,4957.0,1.0,3.0,1.0,B,9.0,37.0,23.0,690.0,694.0,FL,10+ years,MORTGAGE,Verified,60000.0,Charged Off
306.45,debt_consolidation,Individual,6.49,7731.54,10000.0,16265.0,0.0,2.0,0.0,A,2.0,57.3,10.0,740.0,744.0,TX,3 years,RENT,Not Verified,80000.0,Fully Paid
618.19,other,Individual,7.07,618.19,20000.0,14477.0,1.0,0.0,4.0,A,13.0,27.4,22.0,720.0,724.0,TX,10+ years,OWN,Source Verified,90000.0,Current
506.41,debt_consolidation,Individual,11.55,506.41,23000.0,7185.0,0.0,0.0,0.0,B,9.0,42.5,10.0,715.0,719.0,NH,2 years,RENT,Not Verified,60320.0,Current
642.25,debt_consolidation,Individual,9.67,14098.66,20000.0,22363.0,0.0,0.0,1.0,B,21.0,81.0,46.0,705.0,709.0,HI,5 years,RENT,Not Verified,110000.0,Fully Paid
355.05,debt_consolidation,Individual,14.09,4357.06,10375.0,12108.0,0.0,0.0,3.0,B,11.0,65.8,19.0,690.0,694.0,WI,8 years,MORTGAGE,Not Verified,32000.0,Fully Paid
638.94,home_improvement,Joint App,7.35,638.94,32000.0,23284.0,0.0,1.0,2.0,A,15.0,28.6,30.0,770.0,774.0,MA,< 1 year,MORTGAGE,Source Verified,115000.0,Current
524.32,other,Individual,9.44,524.32,25000.0,7362.0,0.0,0.0,1.0,B,21.0,13.8,60.0,745.0,749.0,MD,10+ years,RENT,Source Verified,180000.0,Current
192.79,debt_consolidation,Individual,9.71,192.67,6000.0,6344.0,0.0,3.0,1.0,B,12.0,40.2,25.0,740.0,744.0,KY,10+ years,MORTGAGE,Source Verified,66000.0,Fully Paid
326.57,home_improvement,Individual,13.67,326.57,9600.0,9505.0,1.0,0.0,1.0,C,16.0,63.8,29.0,675.0,679.0,LA,1 year,MORTGAGE,Verified,64000.0,Charged Off
75.97,wedding,Individual,21.6,75.85,2000.0,9363.0,0.0,1.0,1.0,E,10.0,90.0,32.0,670.0,674.0,CA,6 years,RENT,Verified,77000.0,Fully Paid
1241.5,credit_card,Individual,7.35,1241.5,40000.0,128016.0,0.0,0.0,5.0,A,13.0,63.4,34.0,720.0,724.0,IN,5 years,OWN,Verified,350000.0,Current
475.51,debt_consolidation,Individual,13.56,475.51,14000.0,7584.0,0.0,1.0,1.0,C,16.0,20.6,22.0,700.0,704.0,CA,6 years,RENT,Not Verified,96000.0,Current
361.0,debt_consolidation,Individual,26.24,11102.32,12000.0,3395.0,0.0,2.0,3.0,E,5.0,50.7,28.0,670.0,674.0,AR,2 years,RENT,Not Verified,47000.0,Fully Paid
639.9,debt_consolidation,Individual,16.55,23995.91,26000.0,32750.0,0.0,2.0,3.0,D,10.0,56.2,17.0,685.0,689.0,OH,10+ years,MORTGAGE,Source Verified,65000.0,Fully Paid
145.91,vacation,Joint App,10.33,145.91,4500.0,9763.0,0.0,0.0,3.0,B,10.0,67.8,20.0,670.0,674.0,MD,,MORTGAGE,Not Verified,45000.0,Current
485.38,credit_card,Individual,7.89,21920.44,24000.0,16979.0,0.0,0.0,4.0,A,9.0,30.9,19.0,790.0,794.0,MN,,OWN,Not Verified,88000.0,Fully Paid
159.8,car,Individual,7.99,159.8,5100.0,33279.0,0.0,0.0,2.0,A,8.0,65.1,15.0,780.0,784.0,NY,2 years,MORTGAGE,Not Verified,80000.0,Current
406.24,credit_card,Individual,13.33,7720.25,12000.0,12581.0,0.0,0.0,3.0,C,13.0,90.0,39.0,660.0,664.0,AZ,,RENT,Verified,48222.0,Fully Paid
609.44,credit_card,Individual,6.11,16764.0,20000.0,11330.0,0.0,0.0,8.0,A,18.0,9.6,43.0,815.0,819.0,NJ,10+ years,MORTGAGE,Source Verified,226500.0,Fully Paid
230.74,debt_consolidation,Individual,10.49,2048.57,7100.0,17643.0,3.0,1.0,0.0,B,16.0,59.2,34.0,680.0,684.0,IL,2 years,RENT,Not Verified,50000.0,Fully Paid
569.45,credit_card,Individual,12.59,4467.22,17000.0,13339.0,0.0,0.0,0.0,C,8.0,101.0,14.0,670.0,674.0,CA,< 1 year,RENT,Verified,100000.0,Fully Paid
305.8,credit_card,Individual,14.49,9648.31,13000.0,40831.0,2.0,0.0,4.0,C,11.0,78.8,26.0,685.0,689.0,WA,10+ years,MORTGAGE,Verified,65000.0,Fully Paid
570.16,credit_card,Individual,8.18,12199.89,28000.0,28451.0,0.0,0.0,6.0,B,11.0,57.2,35.0,695.0,699.0,NC,10+ years,MORTGAGE,Not Verified,104500.0,Fully Paid
419.46,debt_consolidation,Individual,15.59,425.71,12000.0,28515.0,0.0,0.0,1.0,C,9.0,81.9,14.0,700.0,704.0,OH,5 years,OWN,Source Verified,125000.0,Fully Paid
342.17,debt_consolidation,Individual,14.08,342.17,10000.0,3297.0,0.0,0.0,0.0,C,8.0,28.4,11.0,660.0,664.0,FL,6 years,RENT,Source Verified,42000.0,Current
641.15,debt_consolidation,Individual,6.24,3611.06,21000.0,68451.0,0.0,1.0,6.0,A,15.0,23.4,25.0,750.0,754.0,AZ,2 years,MORTGAGE,Not Verified,180000.0,Fully Paid
291.14,debt_consolidation,Individual,13.33,291.14,8600.0,5432.0,0.0,0.0,0.0,C,10.0,48.9,27.0,670.0,674.0,PA,10+ years,OWN,Source Verified,65000.0,Charged Off
1451.12,debt_consolidation,Individual,18.25,1451.12,40000.0,17188.0,1.0,0.0,0.0,D,6.0,79.2,18.0,685.0,689.0,CA,6 years,RENT,Verified,80000.0,Current
899.09,debt_consolidation,Individual,18.54,23742.31,35000.0,42223.0,1.0,0.0,3.0,E,12.0,89.0,24.0,670.0,674.0,TX,10+ years,MORTGAGE,Verified,105000.0,Fully Paid
345.92,home_improvement,Individual,8.24,345.92,11000.0,19727.0,0.0,0.0,1.0,B,14.0,26.5,21.0,785.0,789.0,NM,10+ years,OWN,Not Verified,95000.0,Current
428.48,debt_consolidation,Individual,19.05,430.0,16500.0,15188.0,0.0,2.0,1.0,D,20.0,74.5,42.0,685.0,689.0,IL,9 years,MORTGAGE,Verified,53000.0,Fully Paid
